Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,minimum_size,minimum_size_unit,location_name,iteration
0,0.8,G$/GWp,262800,h,WINDOUT,24,0,13700.87,GWp,0.0,GWp,MEX,tech_limit
1,0.8,G$/GWp,262800,h,WINDOUT,24,0,3.74,GWp,0.0,GWp,MEX,2030
2,0.8,G$/GWp,262800,h,WINDOUT,24,0,15.014472394625084,GWp,0.0,GWp,MEX,2035
3,0.8,G$/GWp,262800,h,WINDOUT,24,0,15.014472394625084,GWp,8.103028218889623,GWp,MEX,2040
4,0.8,G$/GWp,262800,h,WINDOUT,24,0,15.014472394625084,GWp,30.435500916124745,GWp,MEX,2045
5,0.8,G$/GWp,262800,h,WINDOUT,24,0,12.972336948092234,GWp,45.44997331074983,GWp,MEX,2050
6,0.8,G$/GWp,262800,h,WINDOUT,24,0,31.0,GWp,25.15963635,GWp,MEX,2055
7,0.8,G$/GWp,262800,h,WINDOUT,24,0,13700.87,GWp,10.54,GWp,USA,tech_limit
8,0.8,G$/GWp,262800,h,WINDOUT,24,0,3.74,GWp,10.54,GWp,USA,2030
9,0.8,G$/GWp,262800,h,WINDOUT,24,0,37.4,GWp,10.54,GWp,USA,2035
10,0.8,G$/GWp,262800,h,WINDOUT,24,0,37.4,GWp,10.54,GWp,USA,2040
11,0.8,G$/GWp,262800,h,WINDOUT,24,0,25.15963635,GWp,10.54,GWp,USA,2045
12,0.8,G$/GWp,262800,h,WINDOUT,24,0,43.9484,GWp,10.54,GWp,USA,2050
13,0.8,G$/GWp,262800,h,WINDOUT,24,0,31.0,GWp,10.54,GWp,USA,2055
14,0.8,G$/GWp,262800,h,WINDOUT,24,0,13700.87,GWp,30.0,GWp,CHL,tech_limit
15,0.8,G$/GWp,262800,h,WINDOUT,24,0,3.74,GWp,30.0,GWp,CHL,2030
16,0.8,G$/GWp,262800,h,WINDOUT,24,0,37.4,GWp,30.0,GWp,CHL,2035
17,0.8,G$/GWp,262800,h,WINDOUT,24,0,37.4,GWp,30.0,GWp,CHL,2040
18,0.8,G$/GWp,262800,h,WINDOUT,24,0,25.15963635,GWp,30.0,GWp,CHL,2045
19,0.8,G$/GWp,262800,h,WINDOUT,24,0,43.9484,GWp,30.0,GWp,CHL,2050
20,0.8,G$/GWp,262800,h,WINDOUT,24,0,31.0,GWp,30.0,GWp,CHL,2055
