,year,total_fossil_gen,total_curtailment
0,1,353338.482968404,0.0002232073456980288
1,2,356057.91283668915,0.00023216125555336475
2,3,368226.77383521077,0.00024409184698015451
3,4,365067.95579156897,0.0002565563772805035
4,5,371358.9588805142,0.0002697436138987541
5,6,380041.0759718279,0.000283501751255244
6,7,381698.5240179507,0.0002979712444357574
7,8,383361.633100653,0.0003131721168756485
8,9,381872.2064475915,0.00032906560227274895
9,10,391780.80846326734,0.0003457310376688838
10,11,379875.05640973744,0.0003631983418017626
11,12,378635.61306437396,0.00038139557000249624
12,13,363114.327271729,197.32813541800715
13,14,356506.63890126324,1263.6087185163633
14,15,333959.1953262573,4937.371928961773
15,16,325074.30783042585,11405.047632245696
16,17,306843.73436886055,35454.721831850824
17,18,297277.17692043993,76184.43525496253
18,19,288918.5191070014,132622.29773649515
19,20,284317.0629881188,196759.63032120606
20,21,278752.81389549683,283850.7294419324
21,22,270522.72531588405,407315.4808583576
22,23,264585.33915072214,543864.8488117662
23,24,258585.68969224874,723799.6829650443
24,25,252075.21434290824,940086.5362009094
25,26,241734.4784706474,1224146.8324329634
26,27,236595.5124558827,1551866.5577207822
27,28,228363.75034608698,1562511.6163183092
28,29,222779.19688368324,1555019.1553428476
29,30,217925.22317138224,1551069.9030555508
