MEX,CHL
125.85563366448878,2.4556803993746144
129.14939523044268,2.473763038045945
129.1926720997035,2.5189420719561895
134.70016989227406,2.544399990942111
142.3842025761369,2.5871298219790333
138.28127452148146,2.3412617376288836
148.94070176795867,2.623693989327876
154.23423836575057,2.587883750326
156.50358772375512,2.8794223824770597
160.0444888680322,2.7424978939743596
170.60352235014398,2.9680346027816995
166.0797435754539,2.5902108868249343
178.28996383804952,2.821680728568026
178.22558893384848,3.1780242812110373
187.5623617668116,3.1719656643417693
190.82322875440332,2.981843837787892
189.4754165263621,2.5101824780686
200.36241730102302,2.431955052416015
205.449570171495,2.7195386534185673
201.91764314227112,2.7624908987854724
183.6055206582896,2.8719776336292853
170.4810104522403,2.662710732400228
138.60278410369392,2.1006927876660484
129.8512433783617,2.2309090954295243
110.67200391629194,2.2644556552550057
102.92153364236219,2.307015797781787
92.59713362422008,2.6208111745872884
93.47955927845032,2.2773855188243033
95.35325789808303,1.7019313664459332
99.19569682511428,2.063092761547523
